DWS TOP DIVIDENDE;;;;;;
WKN: 984811;;;;;;
ISIN: DE0009848119;;;;;;
Typ: Fonds;;;;;;
Quelle: http://www.ariva.de/dws_top_dividende-fonds/historische_kurse;;;;;;
Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
04.01.2019;77,0316;77,6487;76,8002;77,1377;1.788;137.920
03.01.2019;77,7644;77,7644;76,9544;77,1184;484;37.351
30.12.2018;77,8512;77,9669;77,0605;77,0605;578;44.515
29.12.2018;77,4558;77,9476;77,4173;77,7644;753;58.552
28.12.2018;77,1184;77,8801;76,9159;77,8801;441;34.327
27.12.2018;78,6515;78,6515;76,8002;77,0123;351;26.996
23.12.2018;76,7712;77,7162;76,7712;77,3305;1.181;91.348
22.12.2018;77,3498;77,7355;77,2051;77,7355;1.002;77.879
21.12.2018;77,0894;77,7451;77,0894;77,3594;315;24.390
20.12.2018;76,1734;77,0894;76,1734;76,4434;1.152;88.080
17.12.2018;76,2506;76,7134;76,1638;76,5302;311;23.811
16.12.2018;76,0095;76,7423;76,0095;76,2024;115;8.772
15.12.2018;75,6913;75,9227;75,6913;75,7685;602;45.576
